Id;mean_totalsteps;clasification
1927972279;916,13;Quiet
8792009665;1853,72;Quiet
4020332650;2267,23;Quiet
6775888955;2519,69;Quiet
1844505072;2580,06;Quiet
4057192912;3838;Quiet
2320127002;4716,87;Quiet
4445114986;4796,55;Quiet
2026352035;5566,87;Quiet
6290855005;5649,55;Quiet
1624580081;5743,9;Quiet
8253242879;6482,16;Quiet
3372868164;6861,65;Quiet
6117666160;7046,71;Quiet
8583815059;7198,52;Quiet
4319703577;7268,84;Quiet
1644430081;7282,97;Quiet
2873212765;7555,77;Moderately active
4558609924;7685,13;Moderately active
5577150313;8304,43;Moderately active
4702921684;8572,06;Moderately active
5553957443;8612,58;Moderately active
8378563200;8717,71;Moderately active
7086361926;9371,77;Moderately active
2347167796;9519,67;Moderately active
6962181067;9794,81;Moderately active
4388161847;10813,94;Active
3977333714;10984,57;Active
7007744171;11323,42;Active
2022484408;11370,65;Active
1503960366;12116,74;Active
8053475328;14763,29;Extremely active
8877689391;16040,03;Extremely active
