Id,registers,clasification
1624580081,31,HEAVY_user
1644430081,30,HEAVY_user
2022484408,31,HEAVY_user
2347167796,18,MODERATE_user
3977333714,30,HEAVY_user
4319703577,31,HEAVY_user
4388161847,31,HEAVY_user
4702921684,31,HEAVY_user
5577150313,30,HEAVY_user
6775888955,26,HEAVY_user
6962181067,31,HEAVY_user
7007744171,26,HEAVY_user
7086361926,31,HEAVY_user
8253242879,19,MODERATE_user
8583815059,31,HEAVY_user
8792009665,29,HEAVY_user
1844505072,31,HEAVY_user
1927972279,31,HEAVY_user
2026352035,31,HEAVY_user
2320127002,31,HEAVY_user
2873212765,31,HEAVY_user
3372868164,20,MODERATE_user
4020332650,31,HEAVY_user
4057192912,4,LIGHT_user
4445114986,31,HEAVY_user
4558609924,31,HEAVY_user
5553957443,31,HEAVY_user
6117666160,28,HEAVY_user
6290855005,29,HEAVY_user
8053475328,31,HEAVY_user
8378563200,31,HEAVY_user
8877689391,31,HEAVY_user
1503960366,31,HEAVY_user
