Id;SleepDay;Date;TotalSleepRecords;TotalMinutesAsleep;TotalTimeInBed
1503960366;4/12/2016 0:00;4/12/2016;1;327;346
1503960366;5/01/2016 0:00;5/01/2016;1;369;396
1503960366;5/02/2016 0:00;5/02/2016;1;277;309
1503960366;5/03/2016 0:00;5/03/2016;1;273;296
1503960366;5/05/2016 0:00;5/05/2016;1;247;264
1503960366;5/06/2016 0:00;5/06/2016;1;334;367
1503960366;5/07/2016 0:00;5/07/2016;1;331;349
1503960366;5/08/2016 0:00;5/08/2016;1;594;611
1503960366;5/09/2016 0:00;5/09/2016;1;338;342
1503960366;5/10/2016 0:00;5/10/2016;1;383;403
1503960366;5/11/2016 0:00;5/11/2016;1;285;306
1644430081;5/02/2016 0:00;5/02/2016;1;796;961
1644430081;5/08/2016 0:00;5/08/2016;1;137;154
1844505072;5/01/2016 0:00;5/01/2016;1;590;961
1927972279;4/12/2016 0:00;4/12/2016;3;750;775
2026352035;4/12/2016 0:00;4/12/2016;1;503;546
2026352035;5/01/2016 0:00;5/01/2016;1;527;546
2026352035;5/02/2016 0:00;5/02/2016;1;511;543
2026352035;5/04/2016 0:00;5/04/2016;1;538;560
2026352035;5/05/2016 0:00;5/05/2016;1;468;485
2026352035;5/06/2016 0:00;5/06/2016;1;524;548
2026352035;5/07/2016 0:00;5/07/2016;1;511;521
2026352035;5/08/2016 0:00;5/08/2016;1;541;568
2026352035;5/09/2016 0:00;5/09/2016;1;531;556
2026352035;5/10/2016 0:00;5/10/2016;1;357;380
2026352035;5/11/2016 0:00;5/11/2016;1;523;553
2026352035;5/12/2016 0:00;5/12/2016;1;456;485
3977333714;4/12/2016 0:00;4/12/2016;1;274;469
3977333714;5/01/2016 0:00;5/01/2016;1;383;626
3977333714;5/02/2016 0:00;5/02/2016;1;230;384
3977333714;5/03/2016 0:00;5/03/2016;1;292;500
3977333714;5/04/2016 0:00;5/04/2016;1;213;336
3977333714;5/05/2016 0:00;5/05/2016;1;318;480
3977333714;5/06/2016 0:00;5/06/2016;1;323;512
3977333714;5/07/2016 0:00;5/07/2016;1;237;443
3977333714;5/08/2016 0:00;5/08/2016;2;259;456
3977333714;5/10/2016 0:00;5/10/2016;1;312;452
4020332650;4/12/2016 0:00;4/12/2016;1;501;541
4020332650;5/03/2016 0:00;5/03/2016;1;322;332
4020332650;5/04/2016 0:00;5/04/2016;1;478;536
4020332650;5/05/2016 0:00;5/05/2016;1;226;248
4020332650;5/06/2016 0:00;5/06/2016;1;385;408
4020332650;5/08/2016 0:00;5/08/2016;1;364;402
4020332650;5/10/2016 0:00;5/10/2016;1;442;494
4319703577;5/01/2016 0:00;5/01/2016;1;484;500
4319703577;5/02/2016 0:00;5/02/2016;1;478;506
4319703577;5/03/2016 0:00;5/03/2016;1;474;512
4319703577;5/06/2016 0:00;5/06/2016;1;450;491
4319703577;5/07/2016 0:00;5/07/2016;1;507;530
4319703577;5/08/2016 0:00;5/08/2016;1;602;638
4319703577;5/09/2016 0:00;5/09/2016;1;535;565
